Label,# Samples,Error %,Received KB/sec,Sent KB/sec,Avg. Bytes
1 /success.txt,1,0.00%,0.77,0.73,379
2 /success.txt,1,0.00%,0.83,0.79,379
4 /bricks/,1,0.00%,186.61,33.91,2102
3 /success.txt,1,0.00%,0.83,0.79,379
5 /css,1,0.00%,2.19,0.79,1039
6 /bricks/bricks.html,1,0.00%,228.76,52.98,1874
7 /favicon.ico,1,100.00%,82.19,57.94,505
8 /bricks/login-1/,1,0.00%,335.35,87.3,1717
9 /bricks/login-2/,1,0.00%,1282.96,109.13,5255
10 /bricks/login-3/,1,0.00%,1071.78,109.13,4390
11 /bricks/login-4/,1,0.00%,1125.98,109.13,4612
12 /bricks/login-5/,1,0.00%,1428.06,145.51,4387
13 /bricks/login-6/,1,0.00%,1196.53,109.13,4901
14 /bricks/login-1/,1,0.00%,335.35,87.3,1717
15 /success.txt,1,0.00%,0.79,0.75,379
16 /bricks/upload-1/,1,0.00%,765.23,88.67,3918
17 /bricks/upload-2/,1,0.00%,988.53,110.84,4049
18 /bricks/upload-3/,1,0.00%,961.43,110.84,3938
19 /bricks/upload-1/index.php,1,0.00%,765.23,133.01,3918
20 /bricks/upload-2/index.php,1,0.00%,988.53,165.53,4049
21 /bricks/upload-3/index.php,1,0.00%,961.43,166.99,3938
22 /bricks/content-1/,1,0.00%,1002.69,110.11,4107
23 /bricks/content-5/,1,0.00%,1666.02,146.81,5118
24 /bricks/content-6/,1,0.00%,774.02,88.09,3963
25 /bricks/content-2/,1,0.00%,808.2,88.09,4138
26 /bricks/content-3/,1,0.00%,1513.67,146.81,4650
27 /bricks/content-4/,1,0.00%,1329.75,146.81,4085
28 /success.txt,1,0.00%,0.82,0.78,379
29 /pdffiles/1.pdf,1,0.00%,2291.02,100.1,9384
TOTAL,29,3.45%,31.8,4.41,3229.3
